8418_in,8450_in,8516_in,8421_in,8422_in,8528_in,8531_in,8508_in,8509_in,8414_in,8415_in,8418_out,8450_out,8516_out,8421_out,8422_out,8528_out,8531_out,8508_out,8509_out,8414_out,8415_out
16421432,6318520,5038841,23602579,12051059,12882387,1308611,2074457,2933163,40295563,5136532,578488,339,1865,0,2000,9183,0,0,0,131787,511102
12722781,3021065,2814915,10525731,19559472,19593325,3499702,2945947,2136420,39847335,6469983,10466,174406,19618,0,6780,680,0,0,7260,73740,27200
19356849,28471932,8521789,6572028,5604661,17188665,3279054,1421197,4453006,39423060,3908072,95960,0,20808,0,216478,4000,0,0,0,0,2043819
24460315,8929572,4274599,9026613,11484976,15918675,1609921,2700178,4552001,33559712,5808978,10647,57207,285791,83426,368022,447593,0,0,1248,86970,670819
19783274,5273023,7878429,28770821,5402721,24103502,1439257,5290661,3262676,25480766,6152438,28831,0,57774,225417,120902,0,0,0,13600,0,155299
11989603,9746868,3154402,9035111,9634123,14971451,2164739,1442581,3142075,27768031,3468798,17800,0,0,3346,0,5743,0,0,80866,0,1525363
31574336,12078093,4510091,19352459,14988758,8229008,1699762,3162565,2845303,42244132,10248363,4046,16320,13000,0,178504,2890,0,1360,510,0,70680
16294547,4016301,3739027,10060706,13091860,10665734,1138558,3666338,3315277,37793377,2314640,42444,73959,3505,0,0,0,0,0,17001,28413,3001518
10162440,8554077,3831216,9049536,10996321,4185781,564670,1341175,2632952,123212630,6269884,4304,681,20107,31879,375109,851,0,1703,0,27901,690778
27450419,21195193,5243583,11637565,16184344,16966965,4194493,2115115,5504029,59345245,10779898,1022,84206,21721,21297,106199,2440,0,6750,22209,214469,1059265
21208665,7582047,4648298,10073225,7724848,6571453,1995044,2411364,2008275,44239973,6254206,253925,109466,32796,88551,239824,602806,0,0,0,6666,1364776
26575273,11717449,4260868,9394814,25448111,15489642,2722269,4429867,3103704,49467614,10875065,1787867,60,0,137127,63742,3744,0,0,801,0,627319
19607871,3405499,5000615,12986042,16595047,10766937,2691882,2204367,2147633,41836541,8160193,15258,409,4159,83357,0,852,0,2567,511,121488,1049253
23702202,8773100,7719074,9083090,11965200,15460071,1334109,4339454,3879369,30023296,6071647,165133,241,341,2036,750,828,0,5180,3760,5242,605528
16702850,3170646,5447104,11213171,5620974,19887810,1769758,2777666,4434479,22194893,6057604,11500,52613,28103,293390,995,0,0,10189,7303,33529,1133824
30213812,10242590,6457687,27244229,20701682,14621082,1350095,1779455,2970096,44559336,3679552,218559,47445,163464,25630,0,3056,0,0,1698,79,798970
15265715,5729974,3621957,9253384,22109400,8487397,2701013,2865843,1854874,34802250,5486544,221991,0,10339,108284,0,704891,1744,0,0,2274,1038611
13169421,2746727,2381008,6504435,7308202,9193725,1810150,2079555,1801559,22608776,3281862,228597,45055,210758,185221,0,80199,0,1026,30524,0,140610
15460778,12297117,7175116,17502192,19177787,5322814,1938210,3206744,2212573,17873558,7349555,110870,130905,2043,45604,0,21111,0,0,25538,1056,215159
23063304,8870937,2831232,13621101,14433835,12771971,2097623,1438363,4129566,20791275,5246466,2162066,2058,77278,160492,0,11542,0,0,0,0,744935
21733899,7264530,4514289,6634150,5814539,5566372,2578862,938306,2714626,16450273,6750364,150486,1712,426138,77884,0,7032,0,0,15103,1207,1205535
17976647,9099344,9414662,12979307,14651720,11000756,2327768,2568597,2938222,26822383,4791928,1921109,0,9166,427721,3059391,0,0,0,6143,1195044,737147
17991413,4115253,5544310,9990312,17440359,7699839,4306336,3390975,4766731,18839715,6995531,11478,2837,83963,34260,0,600624,0,0,0,352715,468571
